Rank,Topic,Question_Count,Percentage
1,DATA ANALYTICS,34,5.2
2,ARTIFICIAL INTELLIGENCE,24,3.7
3,COMPUTER NETWORKS,22,3.4
4,ANALYSIS OF ALGORITHMS,13,2.0
5,COMPUTER NETWORK,13,2.0
6,GRAPHICS,13,2.0
7,COMPUTER GRAPHICS,12,1.8
8,CST021_005 |,11,1.7
9,Section B,10,1.5
10,203-30T,10,1.5
11,DATABASE MANAGEMENT SYSTEM,10,1.5
12,ST021_005 | 103.170.7,9,1.4
13,Section C Section,8,1.2
14,UNIT-V,8,1.2
15,BCST-602,8,1.2
16,DESIGN & ANALYSIS OF ALGORITHM,7,1.1
17,CONSTITUTION OF INDIA,6,0.9
18,03 [P.T.O.],6,0.9
19,UNIT-II,6,0.9
20,UNIT-I,6,0.9
